00124,ECOLE JEAN MACE,906,814,8,806,89.85,14,1.74,1,0.12,5,0.61,7,0.87,13,1.61,21,2.61,187,23.2,191,23.7,331,41.07,9,1.12,1,0.12,26,3.23
00125,ECOLE JEAN CHAUBET,896,782,6,776,87.28,19,2.45,1,0.13,3,0.39,19,2.45,7,0.9,17,2.19,223,28.74,173,22.29,267,34.41,14,1.8,2,0.26,31,3.99
00126,ECOLE JEAN CHAUBET,933,797,2,795,85.42,23,2.89,0,0.0,6,0.75,12,1.51,7,0.88,8,1.01,266,33.46,162,20.38,252,31.7,12,1.51,1,0.12,46,5.79
00127,ECOLE CHATEAU DE L HERS,872,744,10,734,85.32,13,1.77,0,0.0,4,0.54,6,0.82,12,1.63,12,1.63,237,32.29,157,21.39,237,32.29,14,1.91,3,0.42,39,5.31
00128,ECOLE CHATEAU DE L HERS,1115,947,7,940,84.93,34,3.62,1,0.11,12,1.28,18,1.91,31,3.3,11,1.17,356,37.87,195,20.74,207,22.02,6,0.64,6,0.64,63,6.7
00129,ECOLE CHATEAU DE L HERS,991,831,10,821,83.85,28,3.41,0,0.0,3,0.37,15,1.83,19,2.31,8,0.97,339,41.29,161,19.61,184,22.41,14,1.71,3,0.37,47,5.72
00130,ECOLE CHATEAU DE L HERS,1119,969,9,960,86.6,34,3.54,5,0.52,13,1.35,15,1.56,21,2.19,14,1.46,341,35.52,190,19.79,217,22.6,16,1.67,4,0.42,90,9.38
00131,ECOLE HENRI GUILLAUMET,925,803,3,800,86.81,36,4.5,0,0.0,3,0.35,7,0.88,8,1.0,10,1.25,228,28.5,175,21.88,251,31.38,7,0.88,7,0.88,68,8.5
00132,ECOLE HENRI GUILLAUMET,977,834,8,826,85.36,24,2.91,6,0.73,6,0.73,14,1.69,12,1.45,15,1.82,243,29.42,205,24.82,243,29.42,8,0.95,6,0.73,44,5.33
00133,ECOLE HENRI GUILLAUMET,949,820,7,813,86.41,35,4.31,3,0.34,9,1.11,10,1.23,9,1.11,14,1.72,282,34.69,152,18.7,212,26.08,12,1.48,6,0.74,69,8.49
00134,ECOLE HENRI GUILLAUMET,776,655,7,648,84.41,16,2.47,3,0.46,2,0.31,5,0.77,4,0.62,13,2.01,176,27.16,128,19.75,256,39.51,8,1.23,1,0.15,36,5.56
00135,ECOLE LA TERRASSE,987,860,10,850,87.13,26,3.06,2,0.24,3,0.35,5,0.59,8,0.94,14,1.65,262,30.82,235,27.65,239,28.12,11,1.29,3,0.35,42,4.94
00136,ECOLE LA TERRASSE,763,653,3,650,85.58,14,2.15,4,0.62,5,0.77,11,1.69,5,0.77,8,1.23,200,30.77,141,21.69,219,33.69,12,1.85,4,0.62,27,4.15
00137,ECOLE LA TERRASSE,996,897,7,890,90.06,18,2.02,1,0.11,3,0.34,14,1.57,12,1.35,18,2.02,281,31.57,227,25.51,266,29.89,9,1.01,4,0.45,37,4.16
