00156,MATERNELLE LEO LAGRANGE,897,670,9,661,74 %,12,1,83,12,138,20,103,15,5,0,3,0,1,0,49,7,8,1,259,39
00157,ECOLE JULES JULIEN,1183,921,13,908,77 %,48,5,80,8,208,22,145,15,10,1,2,0,2,0,74,8,16,1,323,35
00158,ECOLE JULES JULIEN,1160,919,14,905,79 %,47,5,94,10,134,14,162,17,17,1,4,0,1,0,89,9,11,1,346,38
00159,ECOLE JULES JULIEN,1193,944,15,929,79 %,47,5,84,9,180,19,161,17,11,1,5,0,2,0,78,8,11,1,350,37
00160,ECOLE JULES JULIEN,1023,812,9,803,79 %,48,5,73,9,191,23,107,13,9,1,0,0,0,0,86,10,8,0,281,34
00161,ECOLE JULES JULIEN,973,765,11,754,78 %,43,5,56,7,139,18,135,17,12,1,4,0,1,0,80,10,11,1,273,36
00162,ECOLE JULES JULIEN,1066,846,16,830,79 %,38,4,96,11,154,18,141,16,7,0,3,0,7,0,72,8,10,1,302,36
00163,ECOLE JULES JULIEN,1005,782,13,769,77 %,36,4,70,9,126,16,146,18,3,0,2,0,1,0,99,12,5,0,281,36
00164,ECOLE JULES JULIEN,1134,817,14,802,72 %,61,7,57,7,135,16,161,20,7,0,2,0,0,0,101,12,14,1,264,32
00165,ECOLE LE PASTEL,1339,1135,15,1120,84 %,50,4,77,6,232,20,137,12,10,0,4,0,1,0,136,12,11,0,462,41
00166,ECOLE MAURICE BECANNE,1140,903,13,890,79 %,48,5,99,11,173,19,169,18,6,0,4,0,1,0,82,9,8,0,300,33
00167,ECOLE MAURICE BECANNE,993,743,8,735,74 %,24,3,89,12,164,22,153,20,7,0,3,0,0,0,53,7,7,0,235,31
00168,ECOLE PAPUS,956,721,16,705,75 %,23,3,141,20,102,14,147,20,15,2,2,0,2,0,28,3,5,0,240,34
00169,ECOLE PAPUS,978,675,12,663,69 %,10,1,119,17,101,15,118,17,6,0,4,0,0,0,32,4,8,1,265,39
00170,ECOLE PAPUS,942,697,6,691,73 %,26,3,87,12,159,23,90,13,10,1,4,0,3,0,50,7,10,1,252,36
00171,ECOLE PAPUS,967,699,5,694,72 %,7,1,86,12,105,15,146,21,6,0,1,0,0,0,41,5,12,1,290,41
00173,ECOLE BUFFON,938,655,13,642,69 %,23,3,97,15,98,15,109,16,9,1,5,0,1,0,37,5,0,0,263,40
00174,ECOLE BUFFON,1105,862,10,852,78 %,31,3,114,13,160,18,163,19,5,0,7,0,4,0,61,7,13,1,294,34
00175,ECOLE GEORGES HYON,992,641,7,634,64 %,8,1,49,7,60,9,130,20,10,1,2,0,0,0,28,4,3,0,344,54
00177,ECOLE GEORGES HYON,1038,676,10,666,65 %,15,2,64,9,118,17,112,16,5,0,8,1,2,0,24,3,7,1,311,46
00178,ECOLE GEORGES HYON,979,645,6,639,65 %,8,1,72,11,88,13,114,17,4,0,1,0,2,0,21,3,3,0,326,51
00179,ECOLE SYLVAIN DAURIAC,694,531,10,521,76 %,16,3,52,9,108,20,81,15,8,1,4,0,1,0,35,6,6,1,210,40
00180,ECOLE SYLVAIN DAURIAC,741,523,1,522,70 %,7,1,57,10,65,12,111,21,3,0,1,0,0,0,19,3,3,0,256,49
00181,ECOLE SYLVAIN DAURIAC,945,634,9,624,67 %,19,3,70,11,96,15,112,17,7,1,2,0,3,0,35,5,6,0,274,43
00182,ECOLE SYLVAIN DAURIAC,822,638,11,627,77 %,23,3,68,10,153,24,94,14,7,1,2,0,1,0,40,6,8,1,231,36
00183,ECOLE LES OUSTALOUS,856,691,9,682,80 %,25,3,44,6,262,38,73,10,2,0,2,0,1,0,83,12,9,1,181,26
00184,CSC ALBAN MINVILLE,891,585,17,568,65 %,10,1,41,7,83,14,119,20,9,1,4,0,0,0,28,4,7,1,267,47
00185,CSC ALBAN MINVILLE,821,526,7,519,64 %,6,1,56,10,58,11,116,22,1,0,4,0,1,0,21,4,5,0,251,48
00186,CSC ALBAN MINVILLE,1094,659,4,655,60 %,7,1,30,4,43,6,137,20,7,1,1,0,1,0,14,2,4,0,411,62
00188,CSC ALBAN MINVILLE,757,549,12,537,72 %,9,1,76,14,75,13,106,19,9,1,3,0,2,0,36,6,1,0,220,40
00189,MATERNELLE JEAN GILLES,822,566,15,551,68 %,18,3,53,9,87,15,112,20,4,0,2,0,2,0,32,5,6,1,235,42
00190,MATERNELLE JEAN GILLES,999,582,13,569,58 %,9,1,38,6,44,7,133,23,5,0,5,0,1,0,15,2,4,0,315,55
00191,MATERNELLE JEAN GILLES,984,603,12,591,61 %,6,1,20,3,28,4,132,22,3,0,0,0,4,0,10,1,6,1,382,64
00192,MATERNELLE LES VERGERS,722,511,5,506,70 %,9,1,80,15,91,17,107,21,4,0,2,0,1,0,24,4,11,2,177,34
00193,MATERNELLE LES VERGERS,672,508,1,507,75 %,10,1,73,14,82,16,79,15,1,0,8,1,1,0,12,2,4,0,237,46
00194,ECOLE FERDINAND DE LESSEPS,861,675,11,664,78 %,25,3,76,11,99,14,145,21,8,1,4,0,5,0,47,7,11,1,244,36
00195,ECOLE FERDINAND DE LESSEPS,826,653,9,644,79 %,24,3,99,15,146,22,90,13,5,0,0,0,1,0,64,9,6,0,209,32
00196,ECOLE PAUL BERT,1093,936,15,920,85 %,27,2,140,15,171,18,129,14,7,0,2,0,1,0,94,10,14,1,335,36
00197,ECOLE PAUL BERT,991,819,12,807,82 %,36,4,86,10,222,27,116,14,9,1,2,0,1,0,93,11,10,1,232,28
00198,ECOLE PAUL BERT,1023,853,12,841,83 %,30,3,125,14,200,23,100,11,5,0,2,0,7,0,92,10,11,1,269,31
00199,FOYER DU 3 EME AGE,526,379,5,374,72 %,8,2,85,22,66,17,46,12,3,0,3,0,1,0,30,8,3,0,129,34
00200,ECOLE PRIMAIRE LARDENNE,1159,927,12,915,79 %,28,3,145,15,220,24,134,14,7,0,4,0,2,0,103,11,11,1,261,28
00201,ECOLE PRIMAIRE LARDENNE,970,797,8,789,82 %,35,4,101,12,245,31,79,10,5,0,0,0,1,0,80,10,14,1,229,29
00202,ECOLE CHATEAU ANCELY,1206,932,14,918,77 %,37,4,116,12,165,17,134,14,20,2,0,0,3,0,120,13,13,1,310,33
00203,ECOLE LITTRE,847,685,13,671,80 %,21,3,99,14,142,21,102,15,9,1,2,0,3,0,59,8,8,1,226,33
